Date,NDOI,CVP,SWP
10/1/2021,3454,1710,325
10/2/2021,3816,1719,282
10/3/2021,3301,1720,282
10/4/2021,3287,1721,282
10/5/2021,3307,1726,282
10/6/2021,3608,1727,282
10/7/2021,3684,1706,282
10/8/2021,3825,1699,282
10/9/2021,3720,1710,282
10/10/2021,3615,1719,282
10/11/2021,3863,1699,229
10/12/2021,3490,1702,235
10/13/2021,3689,1706,275
10/14/2021,3630,1703,285
10/15/2021,3623,1699,235
10/16/2021,4177,1677,275
10/17/2021,4484,800,275
10/18/2021,4542,799,275
10/19/2021,4630,805,277
10/20/2021,6285,807,282
10/21/2021,6156,811,275
10/22/2021,6310,805,229
10/23/2021,7975,801,551
10/24/2021,7524,1722,1153
10/25/2021,32923,1713,960
10/26/2021,46831,1726,4036
10/27/2021,48595,2704,6845
10/28/2021,59284,2468,6722
10/29/2021,56980,3250,6719
10/30/2021,27843,3579,6719
10/31/2021,15533,3560,6719
11/1/2021,9794,3848,6912
11/2/2021,5935,4216,6525
11/3/2021,8672,4252,114
11/4/2021,7189,4267,0
11/5/2021,5627,4294,0
11/6/2021,2506,4274,4020
11/7/2021,2849,4452,3209
11/8/2021,2821,4271,1157
11/9/2021,2325,4255,2602
11/10/2021,3910,2122,5143
11/11/2021,2759,2778,6057
11/12/2021,2920,3225,5590
11/13/2021,5197,3569,4004
11/14/2021,7567,3567,3602
11/15/2021,5987,3282,2605
11/16/2021,5082,3776,1409
11/17/2021,4451,2612,853
11/18/2021,4017,2704,402
11/19/2021,3358,2742,414
11/20/2021,3050,2739,0
11/21/2021,2888,2740,417
11/22/2021,2582,2734,0
11/23/2021,2587,2741,414
11/24/2021,2187,2735,412
11/25/2021,3142,1772,0
11/26/2021,3254,1768,408
11/27/2021,3329,1767,408
11/28/2021,2810,1766,0
11/29/2021,3029,1734,521
11/30/2021,3150,1711,412
12/1/2021,2958,1707,0
12/2/2021,2904,1715,590
12/3/2021,3602,929,318
12/4/2021,3336,925,301
12/5/2021,2977,922,291
12/6/2021,3271,886,310
12/7/2021,3792,832,414
12/8/2021,3724,833,0
12/9/2021,3591,840,458
12/10/2021,4383,836,0
12/11/2021,4614,836,515
12/12/2021,4700,817,0
12/13/2021,3040,1738,1496
12/14/2021,11041,2612,3269
12/15/2021,15311,3413,2577
12/16/2021,21704,3939,2577
12/17/2021,32158,4129,5008
12/18/2021,33606,4115,5581
12/19/2021,21288,4154,5270
12/20/2021,27795,933,1522
12/21/2021,24873,915,959
12/22/2021,18657,914,1289
12/23/2021,16991,919,1281
12/24/2021,21803,1700,521
12/25/2021,23072,1694,516
12/26/2021,30216,1701,841
12/27/2021,38621,1697,738
12/28/2021,44327,1716,852
12/29/2021,40435,2607,0
12/30/2021,41661,2601,847
12/31/2021,35480,2603,409
1/1/2022,32441,1698,1070
1/2/2022,28826,1707,1708
1/3/2022,22759,3447,2592
1/4/2022,18469,3496,945
1/5/2022,16614,3478,2577
1/6/2022,15797,4016,1382
1/7/2022,15673,4208,1690
1/8/2022,16947,4205,1583
1/9/2022,17709,4056,1583
1/10/2022,17428,4052,1482
1/11/2022,17417,4052,1696
1/12/2022,16587,4053,1696
1/13/2022,15077,4060,1696
1/14/2022,11903,4110,1904
1/15/2022,10822,4119,1911
1/16/2022,10768,4114,1911
1/17/2022,10766,4071,1705
1/18/2022,10832,4064,1476
1/19/2022,10175,4085,1583
1/20/2022,10331,4090,1488
1/21/2022,9910,4088,1703
1/22/2022,9054,4144,1703
1/23/2022,8050,4119,1703
1/24/2022,7946,4184,1508
1/25/2022,7466,4207,1398
1/26/2022,7480,3885,1607
1/27/2022,6654,3391,2019
1/28/2022,5712,3275,2570
1/29/2022,5558,3336,2577
1/30/2022,5266,3399,2577
1/31/2022,5812,3431,2582
2/1/2022,12147,833,416
2/2/2022,11683,813,643
2/3/2022,11844,1813,855
2/4/2022,11703,1803,0
2/5/2022,11853,1807,601
2/6/2022,11786,1813,629
2/7/2022,11819,1803,843
2/8/2022,11675,1803,951
2/9/2022,11714,1807,414
2/10/2022,11742,1802,0
2/11/2022,11786,1690,509
2/12/2022,11817,1695,939
2/13/2022,11840,1694,1351
2/14/2022,11830,1693,837
2/15/2022,11591,1697,509
2/16/2022,11875,1694,300
2/17/2022,11848,1689,347
2/18/2022,11848,1693,0
2/19/2022,11496,1700,310
2/20/2022,11464,1588,117
2/21/2022,11612,908,193
2/22/2022,11836,863,199
2/23/2022,11704,801,0
2/24/2022,11709,796,414
2/25/2022,11432,800,193
2/26/2022,11150,800,0
2/27/2022,11725,614,199
2/28/2022,11821,801,159
3/1/2022,11825,843,0
3/2/2022,11795,868,287
3/3/2022,11775,871,408
3/4/2022,11874,863,414
3/5/2022,11363,862,201
3/6/2022,11884,817,629
3/7/2022,11750,817,307
3/8/2022,11673,855,629
3/9/2022,11841,892,414
3/10/2022,11512,853,307
3/11/2022,11850,818,193
3/12/2022,12036,818,193
3/13/2022,11620,783,307
3/14/2022,10844,814,309
3/15/2022,8635,2652,414
3/16/2022,8056,2687,315
3/17/2022,8867,892,521
3/18/2022,8223,894,414
3/19/2022,8495,894,414
3/20/2022,7942,902,525
3/21/2022,7530,905,509
3/22/2022,7419,896,643
3/23/2022,7135,906,850
3/24/2022,6750,904,201
3/25/2022,5741,1804,300
3/26/2022,5713,1803,307
3/27/2022,6092,1409,307
3/28/2022,8102,841,310
3/29/2022,7655,2226,2607
3/30/2022,8647,2705,1618
3/31/2022,11724,1540,0
4/1/2022,11396,900,521
4/2/2022,10362,896,521
4/3/2022,8512,902,414
4/4/2022,8039,908,631
4/5/2022,7895,905,521
4/6/2022,7623,900,855
4/7/2022,6738,895,418
4/8/2022,6246,903,527
4/9/2022,5646,899,418
4/10/2022,5609,900,521
4/11/2022,4917,900,521
4/12/2022,4937,899,521
4/13/2022,6149,907,515
4/14/2022,5336,897,529
4/15/2022,4866,899,519
4/16/2022,5391,900,523
4/17/2022,6534,898,521
4/18/2022,7867,908,530
4/19/2022,8382,900,521
4/20/2022,9395,902,515
4/21/2022,8882,898,527
4/22/2022,9329,899,541
4/23/2022,11565,893,533
4/24/2022,11825,900,533
4/25/2022,11822,902,536
4/26/2022,11033,900,534
4/27/2022,7377,913,529
4/28/2022,6600,900,551
4/29/2022,5645,905,629
4/30/2022,5641,904,521
5/1/2022,4704,904,418
5/2/2022,5118,915,520
5/3/2022,4717,904,853
5/4/2022,4285,908,209
5/5/2022,3547,907,450
5/6/2022,3216,916,527
5/7/2022,3724,901,294
5/8/2022,3522,903,304
5/9/2022,4098,906,412
5/10/2022,4579,908,304
5/11/2022,4409,916,738
5/12/2022,5447,907,853
5/13/2022,5560,906,1088
5/14/2022,5697,901,630
5/15/2022,5472,907,427
5/16/2022,4825,915,0
5/17/2022,5381,911,0
5/18/2022,5222,904,0
5/19/2022,4928,914,0
5/20/2022,4711,910,546
5/21/2022,4473,903,1242
5/22/2022,4295,901,633
5/23/2022,4582,901,812
5/24/2022,4366,905,541
5/25/2022,4158,915,273
5/26/2022,3506,918,460
5/27/2022,3082,915,377
5/28/2022,4682,908,282
5/29/2022,4448,915,282
5/30/2022,5283,910,282
5/31/2022,5128,912,235
6/1/2022,4882,908,230
6/2/2022,4726,915,240
6/3/2022,4357,917,235
6/4/2022,4262,905,229
6/5/2022,4333,907,235
6/6/2022,5107,904,235
6/7/2022,5366,904,0
6/8/2022,5141,912,470
6/9/2022,5560,906,184
6/10/2022,5581,910,137
6/11/2022,4703,910,184
6/12/2022,4604,913,184
6/13/2022,4784,912,138
6/14/2022,5427,912,188
6/15/2022,5002,911,182
6/16/2022,4811,912,231
6/17/2022,4879,906,184
6/18/2022,4809,914,184
6/19/2022,4858,899,235
6/20/2022,4664,864,235
6/21/2022,4441,910,235
6/22/2022,4148,919,229
6/23/2022,3935,921,362
6/24/2022,4094,923,225
6/25/2022,4239,924,282
6/26/2022,4825,924,275
6/27/2022,4984,922,321
6/28/2022,5828,921,92
6/29/2022,6939,907,0
6/30/2022,6779,911,0
7/1/2022,6460,1519,0
7/2/2022,6668,1656,375
7/3/2022,6378,1824,370
7/4/2022,6956,1802,367
7/5/2022,7238,1815,367
7/6/2022,6946,1814,641
7/7/2022,6698,1804,641
7/8/2022,6545,1811,541
7/9/2022,6057,1811,541
7/10/2022,5566,2372,541
7/11/2022,5542,2708,541
7/12/2022,5281,2714,641
7/13/2022,5161,2706,651
7/14/2022,5650,2725,541
7/15/2022,5677,2717,528
7/16/2022,5714,2712,528
7/17/2022,5464,2716,528
7/18/2022,4986,2703,528
7/19/2022,4967,2701,456
7/20/2022,4717,2689,528
7/21/2022,4689,2711,527
7/22/2022,4583,2716,527
7/23/2022,4304,2721,527
7/24/2022,4304,2713,528
7/25/2022,4004,2719,358
7/26/2022,4255,2702,642
7/27/2022,4199,2711,642
7/28/2022,4160,2717,470
7/29/2022,4033,2720,565
7/30/2022,3903,2712,565
7/31/2022,3881,2709,551
8/1/2022,4064,2721,560
8/2/2022,4207,2706,556
8/3/2022,3796,2744,557
8/4/2022,3794,2706,546
8/5/2022,3256,2731,593
8/6/2022,3358,2706,551
8/7/2022,3547,2702,551
8/8/2022,3635,2706,555
8/9/2022,3765,2717,181
8/10/2022,3699,2707,979
8/11/2022,4052,2704,184
8/12/2022,3621,2715,688
8/13/2022,3307,2711,596
8/14/2022,3476,2714,706
8/15/2022,3355,2718,672
8/16/2022,3054,2712,672
8/17/2022,2669,2721,455
8/18/2022,2416,2717,672
8/19/2022,2593,2720,672
8/20/2022,2610,2704,672
8/21/2022,2712,2711,455
8/22/2022,2603,2579,639
8/23/2022,3427,2691,672
8/24/2022,3120,2703,672
8/25/2022,2595,2717,812
8/26/2022,2938,2709,672
8/27/2022,3170,2721,672
8/28/2022,2867,2715,672
8/29/2022,3182,2706,672
8/30/2022,3338,2706,672
8/31/2022,1916,2712,662
9/1/2022,3094,2736,662
9/2/2022,3971,1818,537
9/3/2022,3615,1812,729
9/4/2022,4208,1805,672
9/5/2022,4373,1809,672
9/6/2022,4433,1811,532
9/7/2022,4593,1815,666
9/8/2022,4784,1810,666
9/9/2022,4601,1817,666
9/10/2022,4460,1813,666
9/11/2022,4683,1824,666
9/12/2022,4319,2704,672
9/13/2022,3282,2708,826
9/14/2022,2911,2717,1092
9/15/2022,2804,2727,956
9/16/2022,2935,2713,688
9/17/2022,2655,2716,734
9/18/2022,2134,2715,1092
9/19/2022,2821,2718,734
9/20/2022,4476,2706,692
9/21/2022,4060,2711,1333
9/22/2022,3638,2699,1533
9/23/2022,3683,2696,1472
9/24/2022,3356,2724,1467
9/25/2022,2762,2722,1429
9/26/2022,3041,2706,913
9/27/2022,3493,2705,734
9/28/2022,3076,2718,455
9/29/2022,3125,2725,455
9/30/2022,2849,2717,460
10/1/2022,2740,1821,506
10/2/2022,2171,1814,500
10/3/2022,3288,1808,454
10/4/2022,3125,1816,454
10/5/2022,4849,899,454
10/6/2022,4528,914,500
10/7/2022,4154,914,358
10/8/2022,4237,915,358
10/9/2022,4247,917,461
10/10/2022,4329,905,454
10/11/2022,4278,905,454
10/12/2022,4073,904,456
10/13/2022,3765,918,541
10/14/2022,4079,919,454
10/15/2022,3929,923,454
10/16/2022,3474,921,461
10/17/2022,4996,916,454
10/18/2022,4913,913,549
10/19/2022,5362,913,454
10/20/2022,4789,910,549
10/21/2022,4004,920,459
10/22/2022,4810,925,500
10/23/2022,6131,923,788
10/24/2022,7552,920,0
10/25/2022,6503,913,0
10/26/2022,5976,910,0
10/27/2022,5403,909,0
10/28/2022,5147,910,160
10/29/2022,4920,910,1120
10/30/2022,5682,911,1425
10/31/2022,5895,914,925
